"","HUC_i","HUC_j","points_i","length_i","area_i","points_j","length_j","area_j","distance_ij"
"16535",148,165,421,678967.659273,653775833.434,4422,1834982.23088,1619720716.8,234604.5069
"16551",26,170,3908,1385356.19187,944438320.092,9507,921322.489428,902943239.364,234687.2326
"16552",163,203,5807,2029951.87686,3143356248.5,4917,448622.339202,503930913.697,234692.2574
"16562",23,169,489,553095.217362,722734396.623,11576,1654242.92381,2374629754,234817.3802
"16583",165,212,4422,1834982.23088,1619720716.8,12839,2820052.67618,3728259662.3,235024.7562
"16604",55,190,1864,258598.894036,986638704.338,11327,1453769.54938,1253986034.33,235251.7543
"16626",25,164,3170,1425934.38347,926104627.813,4422,1353925.34857,1298060591.31,235536.1636
"16691",150,164,17952,3733456.30238,2413788748.91,4422,1353925.34857,1298060591.31,236160.6592
"16695",59,162,2618,312023.509273,498690546.22,4472,1087840.26405,1164200708.05,236179.8115
"16715",153,176,5038,635197.844155,774426440.254,7281,994620.80025,1612982961.02,236295.4624
"16740",153,395,5038,635197.844155,774426440.254,4662,897169.710945,2043592767.67,236465.8959
"16766",163,204,5807,2029951.87686,3143356248.5,3405,633931.66063,1246649832.2,236676.5591
"16785",22,157,673,819693.164624,781914542.069,6444,762387.267075,2013881876.76,236878.2082
"16817",28,50,6049,644498.607186,451560914.395,10880,1109494.62789,1634992073.48,237125.7176
"16819",23,53,489,553095.217362,722734396.623,4682,912665.799095,1487622720.29,237138.2874
"16843",158,204,1567,214287.566148,559532664.465,3405,633931.66063,1246649832.2,237318.0809
"16845",155,168,17884,2205895.39613,2768996075.97,723,292231.105356,563366373.427,237341.6822
"16846",168,175,723,292231.105356,563366373.427,17187,2353037.01825,2922732511.91,237342.0903
"16857",148,163,421,678967.659273,653775833.434,5807,2029951.87686,3143356248.5,237420.8387
"16870",28,179,6049,644498.607186,451560914.395,657,146939.477626,219121912.887,237517.3925
"16881",162,179,4472,1087840.26405,1164200708.05,657,146939.477626,219121912.887,237564.4939
"16891",33,167,13956,2689645.37194,1798344837.1,1567,507664.349505,919263103.236,237717.1225
"16903",175,398,17187,2353037.01825,2922732511.91,18273,2865499.78312,2853081750.53,237808.6874
"16910",25,179,3170,1425934.38347,926104627.813,657,146939.477626,219121912.887,237930.7085
"16927",153,168,5038,635197.844155,774426440.254,723,292231.105356,563366373.427,238055.7847
"16948",59,156,2618,312023.509273,498690546.22,11821,2108768.4648,2399304474.9,238233.8551
"16966",52,150,3322,644082.819848,1222412983.43,17952,3733456.30238,2413788748.91,238362.035
"16968",162,194,4472,1087840.26405,1164200708.05,2623,483442.524083,707446827.694,238381.0552
"16971",42,51,8402,438182.504918,468727696.46,4748,467952.886776,552135041.351,238393.0298
"16973",54,170,7496,1743542.55719,3588231108.57,9507,921322.489428,902943239.364,238419.3796
"17004",151,175,22241,3147846.5546,2581405676.79,17187,2353037.01825,2922732511.91,238699.3597
"17011",26,191,3908,1385356.19187,944438320.092,12392,851620.791604,1335617285.69,238737.8258
"17021",52,394,3322,644082.819848,1222412983.43,19514,2269045.99455,2958449434.35,238824.7875
"17029",30,174,13119,4095857.55159,2386103901.41,2170,673784.609775,733950779.508,238910.4524
"17075",33,398,13956,2689645.37194,1798344837.1,18273,2865499.78312,2853081750.53,239319.6553
"17105",42,191,8402,438182.504918,468727696.46,12392,851620.791604,1335617285.69,239544.489
