"","INPUT_FID","NEAR_FID","DISTANCE"
"7822",152,163,154421.9649
"7833",52,203,154493.8495
"7837",157,203,154527.3893
"7838",151,403,154534.0277
"7843",162,393,154579.4011
"7874",31,149,154914.6452
"7896",31,172,155249.9975
"7913",161,168,155423.6377
"7980",55,195,156006.0665
"7996",154,394,156224.1129
"7999",157,194,156285.9589
"8014",156,175,156453.5351
"8024",55,177,156541.1022
"8030",28,165,156651.2694
"8036",154,164,156709.9737
"8038",28,156,156735.8805
"8042",162,172,156755.6044
"8048",149,162,156843.1672
"8050",31,173,156854.3504
"8060",53,151,157027.3123
"8076",54,159,157154.0626
"8085",157,168,157213.8003
"8099",154,203,157417.907
"8102",155,159,157437.2195
"8104",43,163,157492.0527
"8109",53,61,157553.642
"8110",159,172,157566.5768
"8116",50,162,157663.2404
"8119",61,194,157695.3023
"8123",171,398,157715.6811
"8130",152,191,157758.0892
"8137",21,161,157847.5533
"8149",151,165,157997.6725
"8159",160,167,158109.8353
"8168",30,169,158199.2723
"8170",24,159,158201.5822
"8178",149,157,158261.7366
"8182",21,398,158323.7715
"8194",54,154,158434.8487
"8223",158,191,158748.8611
"8226",55,403,158761.1444
"8227",26,156,158773.8879
"8272",52,159,159232.6507
"8280",52,161,159283.4759
"8281",61,175,159291.2288
"8300",43,169,159443.5637
"8301",52,59,159444.68
"8334",148,160,159737.2785
"8336",195,203,159750.4026
"8342",150,190,159803.5822
"8344",153,177,159817.109
"8347",151,190,159827.4895
"8350",151,163,159867.8221
"8381",159,403,160230.8284
"8384",151,179,160247.2293
"8389",31,157,160274.9974
"8396",51,208,160436.5383
"8431",160,177,160759.2187
"8434",50,195,160792.7174
"8442",155,211,160860.9207
"8451",26,31,160946.324
"8453",158,175,160953.0843
"8471",160,190,161121.2795
"8476",177,196,161153.2824
"8480",30,33,161202.2017
"8508",24,156,161440.029
"8525",174,398,161612.5942
"8534",30,159,161739.0403
"8565",192,204,162032.855
"8574",161,170,162132.1994
"8575",31,53,162142.0438
"8577",25,31,162161.9191
"8606",55,158,162483.1105
"8625",32,158,162683.2236
"8637",51,61,162759.3823
"8644",176,196,162815.6059
"8648",54,165,162848.2367
"8658",162,392,162912.6285
"8661",50,151,162937.2632
"8663",50,55,162960.1122
"8671",153,203,163058.4362
"8697",398,403,163314.5332
"8706",21,155,163453.7052
"8718",51,162,163611.352
"8720",149,190,163619.8385
"8758",52,164,163925.6043
"8762",155,163,163977.0666
"8783",53,196,164243.7297
"8795",152,177,164378.0921
"8799",26,159,164421.3696
"8818",23,160,164647.7584
"8824",178,212,164743.5396
"8830",161,167,164803.9836
"8834",61,163,164853.714
"8835",190,193,164856.5511
"8836",30,152,164859.1734
"8855",32,152,165030.0893
"8856",160,178,165034.3422
"8862",30,393,165106.6622
"8863",158,178,165107.5961
"8899",191,204,165471.8565
"8904",32,156,165505.5838
"8913",167,395,165585.256
"8939",163,212,165853.2392
"8946",160,170,165967.8359
"8948",32,174,166005.4979
"8952",24,395,166022.5281
"8966",158,171,166169.4645
"8984",160,174,166340.7183
"9001",29,162,166528.5032
"9032",160,191,166882.4867
"9038",158,170,166922.9754
"9039",41,170,166924.2958
"9050",154,175,167007.4889
